Date,Category,Amount,Payment_Mode,Month
10/24/2025,Shopping,12301.0,Card,December
10/25/2025,Food,9619.0,Card,May
10/25/2025,Food,9253.0,Card,June
10/25/2025,Health,14098.0,Online,January
10/25/2025,Shopping,1968.0,Card,July
10/26/2025,Transport,2213.0,Cash,October
10/29/2025,Entertainment,3813.0,Cash,January
10/31/2025,Shopping,7967.0,Card,February
10/31/2025,Utilities,10504.0,Cash,February
11/2/2025,Health,3776.0,Cash,March
11/2/2025,Rent,11822.0,Cash,December
11/2/2025,Transport,7521.0,Online,June
11/3/2025,Rent,6832.0,Online,January
11/5/2025,Rent,6250.0,Cash,January
11/5/2025,Utilities,11965.0,Online,June
11/6/2025,Entertainment,1540.0,Cash,July
11/6/2025,Rent,4355.0,Cash,May
11/6/2025,Transport,6702.0,Online,February
11/7/2025,Utilities,10496.0,Online,April
11/11/2025,Food,652.0,Cash,April
11/12/2025,Rent,8345.0,Online,September
11/12/2025,Entertainment,10439.0,Online,July
11/12/2025,Rent,6530.0,Online,March
11/12/2025,Health,7537.0,Cash,March
11/14/2025,Shopping,11493.0,Online,June
11/14/2025,Entertainment,1084.0,Card,March
11/14/2025,Transport,10277.0,Card,October
11/15/2025,Rent,8732.0,Online,March
11/15/2025,Health,4748.0,Card,May
11/16/2025,Utilities,10917.0,Cash,September
11/17/2025,Rent,2013.0,Online,March
11/18/2025,Entertainment,11753.0,Online,October
11/19/2025,Utilities,14397.0,Cash,July
11/20/2025,Shopping,10700.0,Cash,June
11/21/2025,Rent,803.0,Card,June
11/21/2025,Entertainment,2482.0,Online,July
11/22/2025,Shopping,11745.0,Card,July
11/22/2025,Rent,3474.0,Online,September
11/23/2025,Utilities,9984.0,Online,April
11/25/2025,Health,2963.0,Cash,May
11/27/2025,Entertainment,3349.0,Online,November
11/28/2025,Utilities,7497.0,Cash,January
11/28/2025,Rent,9544.0,Cash,May
11/29/2025,Food,9235.0,Online,May
11/29/2025,Entertainment,8313.0,Cash,February
11/29/2025,Entertainment,3698.0,Card,November
11/30/2025,Shopping,826.0,Online,February
11/30/2025,Utilities,14136.0,Online,August
12/1/2025,Transport,1928.0,Card,August
12/2/2025,Shopping,14659.0,Online,February
12/3/2025,Entertainment,4072.0,Cash,March
12/4/2025,Food,2389.0,Card,December
12/4/2025,Food,7526.0,Card,February
12/6/2025,Entertainment,2156.0,Card,December
12/9/2025,Transport,3474.0,Online,March
12/10/2025,Food,3480.0,Card,November
12/10/2025,Entertainment,6640.0,Cash,July
12/11/2025,Transport,11060.0,Cash,January
12/14/2025,Health,3325.0,Cash,August
12/18/2025,Rent,10130.0,Card,February
12/20/2025,Food,10562.0,Card,August
12/20/2025,Transport,2262.0,Online,May
12/24/2025,Entertainment,9524.0,Online,October
12/25/2025,Utilities,2496.0,Online,December
12/26/2025,Health,13936.0,Cash,October
12/27/2025,Rent,11230.0,Online,October
12/27/2025,Rent,11403.0,Card,August
12/27/2025,Rent,3653.0,Online,December
12/28/2025,Utilities,10304.0,Card,May
12/29/2025,Shopping,12278.0,Online,May
12/29/2025,Entertainment,14151.0,Card,August
12/30/2025,Rent,14013.0,Cash,December
12/30/2025,Health,5876.0,Online,June
1/1/2026,Shopping,11353.0,Cash,April
1/1/2026,Utilities,10693.0,Card,September
1/2/2026,Shopping,12308.0,Card,November
1/3/2026,Utilities,6912.0,Online,April
1/3/2026,Transport,12871.0,Card,May
1/4/2026,Shopping,11480.0,Online,March
1/4/2026,Health,4803.0,Card,January
1/5/2026,Utilities,9318.0,Online,September
1/5/2026,Entertainment,5289.0,Online,September
1/5/2026,Entertainment,5490.0,Card,August
1/8/2026,Food,13644.0,Cash,July
1/8/2026,Transport,14537.0,Card,November
1/9/2026,Utilities,12445.0,Cash,August
1/10/2026,Rent,719.0,Online,April
1/12/2026,Health,5184.0,Online,October
1/14/2026,Transport,8807.0,Online,May
1/14/2026,Entertainment,12832.0,Cash,August
1/17/2026,Entertainment,11092.0,Card,December
1/18/2026,Food,2845.0,Cash,July
1/18/2026,Rent,14627.0,Cash,November
1/19/2026,Utilities,5004.0,Online,August
1/19/2026,Entertainment,5857.0,Cash,December
1/20/2026,Transport,11708.0,Cash,May
1/20/2026,Health,6362.0,Card,January
1/21/2026,Shopping,9786.0,Cash,January
1/21/2026,Utilities,3324.0,Online,March
1/23/2026,Transport,9929.0,Online,October
1/23/2026,Food,7327.0,Card,April
1/27/2026,Health,12473.0,Online,January
1/28/2026,Food,6995.0,Cash,February
1/28/2026,Rent,4540.0,Card,August
1/30/2026,Transport,5692.0,Online,February
1/31/2026,Rent,4712.0,Online,November
1/31/2026,Health,11777.0,Cash,September
2/2/2026,Utilities,6880.0,Cash,July
2/2/2026,Entertainment,3862.0,Card,January
2/2/2026,Health,10288.0,Online,March
2/2/2026,Health,7199.0,Card,April
2/5/2026,Entertainment,5545.0,Card,January
2/5/2026,Transport,12736.0,Card,October
2/7/2026,Entertainment,3819.0,Online,February
2/7/2026,Health,4643.0,Cash,September
2/8/2026,Rent,13159.0,Cash,February
2/9/2026,Health,5897.0,Cash,March
2/10/2026,Transport,4233.0,Cash,December
2/11/2026,Transport,2908.0,Online,August
2/12/2026,Rent,6376.0,Card,January
2/14/2026,Food,1100.0,Cash,September
2/14/2026,Entertainment,14239.0,Online,June
2/14/2026,Rent,11887.0,Online,September
2/14/2026,Entertainment,5116.0,Cash,December
2/15/2026,Health,4775.0,Card,January
2/17/2026,Entertainment,8457.0,Online,November
2/18/2026,Shopping,12157.0,Card,October
2/18/2026,Shopping,3841.0,Card,November
2/21/2026,Food,13932.0,Card,November
2/21/2026,Rent,3181.0,Cash,January
2/22/2026,Rent,2572.0,Online,January
2/23/2026,Transport,3814.0,Cash,September
2/25/2026,Food,14235.0,Cash,September
2/25/2026,Entertainment,5852.0,Card,April
2/28/2026,Entertainment,225.0,Online,October
3/1/2026,Shopping,4053.0,Cash,May
3/2/2026,Utilities,14277.0,Cash,January
3/2/2026,Entertainment,1086.0,Card,September
3/2/2026,Rent,10674.0,Online,March
3/3/2026,Shopping,1812.0,Card,October
3/5/2026,Shopping,5303.0,Online,October
3/5/2026,Transport,11818.0,Cash,May
3/6/2026,Transport,6453.0,Cash,March
3/6/2026,Entertainment,12039.0,Cash,September
3/6/2026,Food,4531.0,Online,November
3/8/2026,Health,6913.0,Online,January
3/8/2026,Health,10461.0,Card,November
3/8/2026,Rent,111.0,Card,August
3/8/2026,Food,10799.0,Card,July
3/10/2026,Food,3316.0,Cash,June
3/11/2026,Health,10005.0,Card,February
3/12/2026,Utilities,14746.0,Online,August
3/12/2026,Rent,1158.0,Cash,July
3/14/2026,Entertainment,14194.0,Cash,July
3/15/2026,Transport,9839.0,Online,October
3/16/2026,Entertainment,5529.0,Card,January
3/17/2026,Entertainment,1782.0,Card,November
3/21/2026,Shopping,3058.0,Card,June
3/23/2026,Rent,3339.0,Online,November
3/25/2026,Entertainment,1443.0,Card,December
3/25/2026,Health,9308.0,Cash,January
3/26/2026,Entertainment,9399.0,Cash,February
3/26/2026,Shopping,8132.0,Card,July
3/26/2026,Health,2456.0,Cash,February
3/26/2026,Utilities,4136.0,Online,June
3/28/2026,Shopping,11661.0,Cash,August
3/29/2026,Entertainment,14651.0,Card,May
3/29/2026,Transport,7127.0,Online,October
3/30/2026,Shopping,4267.0,Cash,April
3/30/2026,Utilities,9599.0,Cash,November
4/1/2026,Entertainment,7017.0,Online,April
4/1/2026,Transport,14763.0,Cash,February
4/2/2026,Entertainment,7129.0,Cash,October
4/3/2026,Entertainment,7427.0,Card,August
4/3/2026,Shopping,2593.0,Card,January
4/4/2026,Food,12297.0,Card,December
4/5/2026,Food,2872.0,Cash,April
4/6/2026,Transport,3255.0,Card,March
4/7/2026,Health,101.0,Online,March
4/8/2026,Entertainment,14677.0,Cash,August
4/8/2026,Transport,869.0,Online,December
4/8/2026,Health,11994.0,Online,April
4/9/2026,Health,2039.0,Card,November
4/9/2026,Food,1088.0,Cash,April
4/10/2026,Entertainment,9871.0,Cash,May
4/11/2026,Food,11029.0,Online,March
4/12/2026,Rent,11230.0,Cash,April
4/13/2026,Transport,13225.0,Cash,June
4/14/2026,Utilities,11524.0,Cash,December
4/15/2026,Rent,1150.0,Cash,February
4/16/2026,Rent,1298.0,Online,April
4/16/2026,Utilities,8984.0,Online,December
4/17/2026,Utilities,3566.0,Online,June
4/18/2026,Food,1804.0,Cash,January
4/18/2026,Rent,2852.0,Cash,March
4/19/2026,Transport,11800.0,Online,June
4/20/2026,Transport,8006.0,Online,March
4/21/2026,Health,7024.0,Cash,February
4/22/2026,Transport,6887.0,Card,September
4/28/2026,Health,7861.0,Online,November
4/30/2026,Transport,7036.0,Online,July
5/1/2026,Utilities,10461.0,Card,June
5/1/2026,Transport,3224.0,Online,October
5/3/2026,Utilities,12682.0,Online,September
5/3/2026,Utilities,10332.0,Card,December
5/4/2026,Shopping,891.0,Cash,March
5/6/2026,Entertainment,14788.0,Online,January
5/6/2026,Shopping,10845.0,Online,October
5/7/2026,Food,13246.0,Card,November
5/7/2026,Rent,13381.0,Cash,February
5/10/2026,Rent,12357.0,Online,April
5/10/2026,Rent,6190.0,Cash,June
5/10/2026,Entertainment,7611.0,Card,December
5/12/2026,Entertainment,9087.0,Cash,September
5/13/2026,Transport,3888.0,Card,September
5/13/2026,Health,10376.0,Cash,March
5/16/2026,Entertainment,1277.0,Cash,November
5/16/2026,Food,675.0,Cash,December
5/16/2026,Shopping,14010.0,Card,August
5/18/2026,Rent,9027.0,Card,October
5/18/2026,Health,8079.0,Card,January
5/20/2026,Food,14849.0,Cash,April
5/21/2026,Entertainment,12103.0,Online,December
5/21/2026,Entertainment,9852.0,Cash,July
5/21/2026,Utilities,11858.0,Card,April
5/21/2026,Food,13473.0,Cash,November
5/21/2026,Food,5443.0,Online,May
5/22/2026,Health,4860.0,Online,May
5/25/2026,Food,10923.0,Cash,March
5/25/2026,Utilities,10206.0,Card,September
5/26/2026,Health,5995.0,Cash,April
5/27/2026,Food,734.0,Online,February
5/28/2026,Food,1691.0,Card,May
5/28/2026,Shopping,3527.0,Card,November
5/29/2026,Shopping,11663.0,Cash,July
5/30/2026,Utilities,11228.0,Online,June
5/30/2026,Utilities,4499.0,Online,December
6/1/2026,Transport,10160.0,Online,April
6/1/2026,Food,2378.0,Online,December
6/1/2026,Utilities,8701.0,Card,June
6/2/2026,Shopping,5755.0,Card,February
6/2/2026,Utilities,7215.0,Online,December
6/3/2026,Health,1329.0,Online,March
6/3/2026,Rent,12146.0,Card,April
6/4/2026,Entertainment,12021.0,Cash,April
6/4/2026,Shopping,13131.0,Card,August
6/9/2026,Health,14213.0,Cash,November
6/10/2026,Utilities,1535.0,Online,May
6/10/2026,Rent,12422.0,Cash,September
6/13/2026,Transport,12968.0,Online,April
6/14/2026,Health,6182.0,Online,April
6/14/2026,Health,8542.0,Cash,February
6/14/2026,Shopping,13698.0,Online,June
6/15/2026,Health,5891.0,Cash,February
6/15/2026,Health,9327.0,Cash,September
6/16/2026,Health,11973.0,Card,May
6/16/2026,Health,3273.0,Card,December
6/18/2026,Health,1987.0,Card,January
6/21/2026,Food,554.0,Cash,October
6/21/2026,Food,10632.0,Cash,June
6/24/2026,Shopping,6189.0,Cash,September
6/25/2026,Utilities,7825.0,Card,August
6/26/2026,Shopping,14946.0,Card,April
6/26/2026,Entertainment,13480.0,Cash,May
6/27/2026,Health,4311.0,Cash,November
6/30/2026,Entertainment,11085.0,Online,October
7/1/2026,Food,7152.0,Card,August
7/2/2026,Shopping,8608.0,Online,April
7/3/2026,Transport,9296.0,Online,September
7/4/2026,Rent,13729.0,Card,February
7/8/2026,Transport,14726.0,Online,April
7/8/2026,Shopping,14551.0,Online,September
7/9/2026,Transport,9231.0,Card,July
7/9/2026,Shopping,12698.0,Online,January
7/10/2026,Rent,1488.0,Cash,March
7/10/2026,Shopping,6283.0,Card,January
7/11/2026,Utilities,8633.0,Online,August
7/13/2026,Food,14209.0,Cash,February
7/16/2026,Entertainment,12903.0,Card,September
7/17/2026,Health,11915.0,Cash,June
7/17/2026,Transport,8565.0,Card,February
7/17/2026,Entertainment,4133.0,Cash,October
7/17/2026,Shopping,9838.0,Cash,July
7/17/2026,Food,10953.0,Card,July
7/18/2026,Health,9866.0,Card,November
7/20/2026,Rent,13874.0,Card,April
7/20/2026,Entertainment,6744.0,Online,May
7/22/2026,Transport,8941.0,Cash,July
7/23/2026,Rent,14726.0,Card,January
7/23/2026,Health,582.0,Cash,May
7/24/2026,Utilities,10305.0,Cash,August
7/24/2026,Food,6199.0,Cash,December
7/31/2026,Food,12747.0,Online,April
7/31/2026,Utilities,10089.0,Card,December
7/31/2026,Shopping,6981.0,Online,May
8/3/2026,Food,9020.0,Card,December
8/3/2026,Transport,8327.0,Cash,December
8/5/2026,Rent,4982.0,Online,July
8/8/2026,Entertainment,1842.0,Card,October
8/9/2026,Health,12255.0,Cash,March
8/10/2026,Entertainment,8576.0,Card,August
8/10/2026,Food,6254.0,Online,August
8/10/2026,Transport,14310.0,Cash,October
8/11/2026,Food,11471.0,Card,June
8/12/2026,Rent,5209.0,Card,September
8/12/2026,Food,121.0,Cash,February
8/13/2026,Food,7590.0,Card,July
8/13/2026,Food,1489.0,Card,May
8/14/2026,Food,9731.0,Online,June
8/14/2026,Transport,5205.0,Card,March
8/15/2026,Food,5226.0,Cash,May
8/15/2026,Rent,12695.0,Card,July
8/15/2026,Food,13431.0,Card,February
8/15/2026,Shopping,14164.0,Cash,June
8/15/2026,Transport,11845.0,Online,November
8/15/2026,Food,11679.0,Online,November
8/16/2026,Food,11066.0,Cash,November
8/16/2026,Entertainment,12220.0,Card,May
8/17/2026,Rent,4880.0,Card,February
8/18/2026,Rent,1236.0,Online,March
8/19/2026,Shopping,13142.0,Card,July
8/20/2026,Transport,7573.0,Cash,August
8/20/2026,Rent,5563.0,Card,August
8/25/2026,Transport,11338.0,Card,November
8/25/2026,Rent,10533.0,Cash,May
8/27/2026,Food,5550.0,Cash,July
8/28/2026,Utilities,172.0,Cash,October
8/29/2026,Shopping,4699.0,Card,May
8/29/2026,Health,1904.0,Cash,June
8/30/2026,Shopping,3456.0,Cash,June
8/30/2026,Health,13060.0,Cash,September
8/31/2026,Transport,7695.0,Online,June
9/1/2026,Utilities,13361.0,Online,March
9/2/2026,Health,2836.0,Online,March
9/4/2026,Transport,11307.0,Cash,April
9/7/2026,Health,8695.0,Cash,September
9/8/2026,Health,3046.0,Online,March
9/9/2026,Entertainment,11071.0,Card,May
9/12/2026,Entertainment,13679.0,Cash,February
9/13/2026,Transport,11409.0,Card,December
9/14/2026,Shopping,9859.0,Online,March
9/14/2026,Utilities,3172.0,Cash,February
9/16/2026,Health,3596.0,Cash,November
9/18/2026,Transport,14094.0,Cash,July
9/19/2026,Entertainment,10931.0,Cash,August
9/19/2026,Rent,258.0,Cash,December
9/22/2026,Health,10003.0,Card,October
9/22/2026,Entertainment,9007.0,Card,November
9/23/2026,Utilities,10101.0,Online,September
9/23/2026,Food,6738.0,Card,April
9/25/2026,Food,7217.0,Cash,August
9/25/2026,Utilities,2840.0,Online,December
