Date,Transaction Description,Category,Amount
2021-11-21,Enter build citizen rather.,Investment,17940.0
2021-11-23,Structure foreign before.,Salary,93424.0
2021-11-26,How any federal star.,Utilities,63204.0
2021-11-27,Weight take.,Health & Fitness,195099.0
2021-11-28,Economic left sound cause activity.,Other,47180.0
2021-12-01,Cup hundred rather.,Health & Fitness,49106.0
2021-12-02,Only true avoid young cup.,Other,25300.0
2021-12-03,Begin suggest speak.,Investment,28770.0
2021-12-03,Walk anything.,Shopping,50406.0
2021-12-08,Start house ahead raise.,Utilities,162882.0
2021-12-09,Democrat cost evidence third.,Health & Fitness,38777.0
2021-12-09,People early far include nearly.,Other,45850.0
2021-12-11,Evidence case.,Salary,5612.0
2021-12-12,Eat yes myself affect him.,Salary,193371.0
2021-12-13,Name machine tree maybe.,Health & Fitness,10683.0
2021-12-13,Conference five despite.,Salary,57864.0
2021-12-15,Speak line.,Investment,40300.0
2021-12-15,Yourself wind beyond prevent entire.,Other,34960.0
2021-12-16,Offer work home.,Health & Fitness,10003.0
2021-12-19,Door fish scene.,Investment,34690.0
2021-12-20,Agreement red way nor none.,Rent,77883.0
2021-12-20,My compare also argue.,Travel,165237.0
2021-12-23,Money a.,Rent,26604.0
2021-12-24,Future concern sort.,Other,32770.0
2021-12-26,Against only.,Health & Fitness,151238.0
2021-12-28,Suffer team.,Other,45960.0
2021-12-31,Relate product only from.,Investment,16220.0
2022-01-01,Wish run join.,Salary,104347.0
2022-01-03,Company why really up.,Investment,31860.0
2022-01-03,Program sport her.,Health & Fitness,33338.0
2022-01-03,Concern ability reduce.,Travel,119151.0
2022-01-04,Surface side nothing consider.,Salary,142039.0
2022-01-05,Determine not view cell seat.,Food & Drink,74303.0
2022-01-06,Word collection those become.,Shopping,117157.0
2022-01-08,Activity decide really go.,Food & Drink,119785.0
2022-01-09,Answer just.,Entertainment,144559.0
2022-01-13,This manage her.,Utilities,105322.0
2022-01-13,Big look tell prepare.,Shopping,30407.0
2022-01-14,Later son almost.,Food & Drink,114941.0
2022-01-16,End bit game thousand.,Entertainment,4769.0
2022-01-16,Natural together.,Utilities,83179.0
2022-01-18,Order party lot all.,Salary,174691.0
2022-01-18,Threat church big day couple.,Food & Drink,141449.0
2022-01-21,Enter example down anyone occur.,Health & Fitness,199626.0
2022-01-21,Approach about because.,Shopping,63437.0
2022-01-22,Best deal point.,Other,49750.0
2022-01-23,Such final however major.,Travel,122405.0
2022-01-24,Politics hold.,Investment,27850.0
2022-01-28,Hard knowledge enjoy let.,Entertainment,188356.0
2022-02-01,Nor character recent.,Travel,141275.0
2022-02-02,Property space.,Salary,64091.0
2022-02-05,Dinner article hit mission whole.,Travel,5827.0
2022-02-05,Think live bad total research.,Shopping,179256.0
2022-02-06,Too song quality per build.,Health & Fitness,190967.0
2022-02-08,We cold deep.,Travel,9371.0
2022-02-08,Amount bad raise.,Rent,69926.0
2022-02-09,Challenge organization floor road southern.,Travel,14972.0
2022-02-10,News need task mind.,Travel,186672.0
2022-02-10,Onto site both change note.,Utilities,22736.0
2022-02-10,Understand none.,Entertainment,49249.0
2022-02-10,Test they there.,Entertainment,127951.0
2022-02-11,Pressure occur list common.,Other,32050.0
2022-02-14,Peace race i.,Rent,136557.0
2022-02-17,Real any little environmental.,Investment,38330.0
2022-02-17,Full soldier.,Salary,96012.0
2022-02-17,Successful teach range.,Other,31310.0
2022-02-17,Feel season similar.,Food & Drink,181679.0
2022-02-18,Rock painting become.,Investment,48830.0
2022-02-21,Tree imagine machine.,Food & Drink,182733.0
2022-02-22,Start middle city find.,Investment,7970.0
2022-02-22,Career surface these ahead.,Shopping,157804.0
2022-02-25,Student economic lead.,Other,8060.0
2022-02-27,Ever statement measure.,Investment,32440.0
2022-03-01,Drop major.,Salary,177963.0
2022-03-02,Whether listen necessary.,Other,27350.0
2022-03-04,Study else store.,Investment,32080.0
2022-03-05,Agree anyone take.,Other,26070.0
2022-03-07,Positive question especially.,Food & Drink,147587.0
2022-03-07,After sister should across treatment.,Entertainment,35923.0
2022-03-12,Song difference part wall require.,Shopping,165571.0
2022-03-14,Time surface learn design.,Rent,80766.0
2022-03-17,Station however bill memory production.,Investment,44110.0
2022-03-17,Positive participant fear blue as.,Entertainment,2359.0
2022-03-18,Technology end represent throughout.,Salary,150998.0
2022-03-18,Change she tonight.,Travel,11691.0
2022-03-18,Race return pretty young.,Travel,131083.0
2022-03-20,Identify say on yes.,Food & Drink,133889.0
2022-03-20,Risk develop movement size.,Utilities,81678.0
2022-03-22,Feel color price next.,Travel,138368.0
2022-03-23,Likely scientist.,Travel,74141.0
2022-03-23,Water tonight pressure.,Utilities,96158.0
2022-03-24,Development the inside thought.,Health & Fitness,83753.0
2022-03-25,One less brother.,Salary,151713.0
2022-03-26,Oil per line create build.,Entertainment,15261.0
2022-03-27,Fear approach take case customer.,Rent,105576.0
2022-03-28,Throughout would century television congress.,Health & Fitness,16542.0
2022-03-28,Forward would finish around.,Food & Drink,165926.0
2022-03-28,Decide similar office.,Entertainment,114968.0
2022-03-28,Size sister can its.,Other,47620.0
2022-03-29,Investment local above move.,Entertainment,143667.0
2022-03-29,Throughout series.,Salary,16193.0
2022-03-31,Adult above safe.,Shopping,91903.0
2022-03-31,Fine bill me fill.,Other,30240.0
2022-03-31,Fear fact.,Shopping,51637.0
2022-04-01,Model its rather card you.,Investment,10980.0
2022-04-01,Seek close trade speech.,Other,10220.0
2022-04-01,Difference world deep.,Food & Drink,186982.0
2022-04-01,Mean but represent society heart.,Other,7590.0
2022-04-02,Perhaps order answer blue structure.,Utilities,154025.0
2022-04-02,Indicate herself.,Shopping,75518.0
2022-04-03,Listen check receive.,Salary,174054.0
2022-04-03,Inside big minute.,Shopping,1697.0
2022-04-04,Store bit responsibility brother.,Utilities,131053.0
2022-04-05,Marriage participant.,Utilities,198577.0
2022-04-08,Win group important civil nature.,Utilities,145844.0
2022-04-09,Former able public trade.,Food & Drink,15148.0
2022-04-09,Chance bed memory rich.,Salary,135026.0
2022-04-10,Popular lead with.,Shopping,164849.0
2022-04-10,Anyone spend them system.,Health & Fitness,31869.0
2022-04-16,International break surface three.,Investment,7630.0
2022-04-18,Professional color group.,Shopping,12337.0
2022-04-18,Environmental run head garden box.,Food & Drink,48893.0
2022-04-21,Even history surface son.,Investment,41570.0
2022-04-22,Car risk.,Food & Drink,49702.0
2022-04-22,Indeed opportunity.,Other,24190.0
2022-04-24,Consider here grow agreement.,Food & Drink,28887.0
2022-04-24,Turn both in animal.,Entertainment,163341.0
2022-04-29,Actually than modern season.,Health & Fitness,115917.0
2022-04-30,Within prove full.,Health & Fitness,48144.0
2022-05-02,Believe product eat generation put.,Entertainment,83298.0
2022-05-02,Stuff next write.,Utilities,125573.0
2022-05-03,Poor church.,Salary,1033.0
2022-05-05,Thank avoid man drive.,Shopping,157375.0
2022-05-05,Medical nearly.,Shopping,82244.0
2022-05-06,Stage bad know of.,Utilities,151129.0
2022-05-07,Language budget market president.,Entertainment,60847.0
2022-05-07,Include news a before.,Salary,183033.0
2022-05-07,None pressure lay future stay.,Shopping,11190.0
2022-05-08,Forward should outside respond.,Investment,25880.0
2022-05-08,Box service develop game.,Rent,184523.0
2022-05-09,Miss reduce animal clearly cell.,Rent,107591.0
2022-05-09,Effect cultural.,Food & Drink,54424.0
2022-05-11,Democratic station course full.,Food & Drink,17485.0
2022-05-13,Unit study.,Investment,44270.0
2022-05-13,Leader operation mean white.,Health & Fitness,61334.0
2022-05-14,Save network item one under.,Entertainment,187495.0
2022-05-19,Community spring billion price paper.,Rent,149629.0
2022-05-19,Thing industry participant realize.,Entertainment,13943.0
2022-05-20,Huge garden family.,Shopping,18311.0
2022-05-20,Include record security.,Travel,76752.0
2022-05-22,Team republican very plan cut.,Health & Fitness,62376.0
2022-05-23,Tv car report window.,Salary,93735.0
2022-05-24,My pm report set.,Salary,152564.0
2022-05-24,Old wall report purpose.,Entertainment,7477.0
2022-05-25,There institution actually.,Entertainment,148509.0
2022-05-27,Herself apply.,Other,29180.0
2022-05-28,Environment size worker.,Other,23840.0
2022-05-29,Style real far.,Entertainment,100361.0
2022-05-29,Grow laugh.,Health & Fitness,52208.0
2022-05-30,Score night down.,Salary,92705.0
2022-05-30,Unit hold.,Health & Fitness,34684.0
2022-05-31,Approach season data than team.,Salary,37626.0
2022-06-01,Treatment relate positive.,Food & Drink,105265.0
2022-06-01,Cultural right cover large work.,Rent,189092.0
2022-06-04,While same budget.,Food & Drink,83066.0
2022-06-04,Evidence enough claim suffer.,Entertainment,14526.0
2022-06-06,Letter visit always up.,Investment,46420.0
2022-06-07,Past product make of group.,Food & Drink,123949.0
2022-06-07,Detail contain attention measure indeed.,Salary,132198.0
2022-06-11,Begin determine degree forward.,Other,5970.0
2022-06-11,Despite sell most.,Other,48880.0
2022-06-12,Boy generation.,Food & Drink,100941.0
2022-06-12,Truth during always those high.,Shopping,161427.0
2022-06-12,Either rich agency might.,Rent,183692.0
2022-06-13,Sort knowledge analysis together court.,Entertainment,39194.0
2022-06-17,Way cold.,Health & Fitness,54198.0
2022-06-17,Account assume prove similar ten.,Health & Fitness,19190.0
2022-06-18,Day stock.,Entertainment,198056.0
2022-06-19,Section child.,Rent,131093.0
2022-06-20,Also available concern edge.,Food & Drink,19607.0
2022-06-21,Start treat imagine later identify.,Salary,12167.0
2022-06-21,Hope brother.,Investment,11770.0
2022-06-23,As second animal summer group.,Shopping,129337.0
2022-06-23,Face rate.,Rent,179063.0
2022-06-25,She join house.,Entertainment,43072.0
2022-06-25,Choose detail section someone.,Salary,54948.0
2022-06-26,Whether century quality.,Travel,179963.0
2022-06-26,Network never.,Food & Drink,36692.0
2022-06-30,Above others.,Food & Drink,192332.0
2022-07-01,Water fight security tough gas.,Shopping,185846.0
2022-07-02,Central contain pattern education boy.,Entertainment,113772.0
2022-07-04,Surface usually.,Health & Fitness,77385.0
2022-07-04,Popular available public economy.,Rent,100658.0
2022-07-04,Maintain former campaign pretty beyond.,Food & Drink,20439.0
2022-07-05,Fish late pattern.,Rent,68778.0
2022-07-06,Charge note space when collection.,Shopping,193815.0
2022-07-13,Size republican political.,Travel,156926.0
2022-07-17,Care run there leg.,Entertainment,71806.0
2022-07-17,Main board population.,Shopping,37962.0
2022-07-17,Teach cause mrs.,Shopping,18053.0
2022-07-18,Baby away affect medical all.,Entertainment,142909.0
2022-07-18,If operation trade necessary myself.,Investment,36120.0
2022-07-19,President chance hotel through.,Utilities,148191.0
2022-07-20,Let member however.,Rent,19213.0
2022-07-22,Production summer.,Salary,72624.0
2022-07-25,Cell city not not the.,Utilities,18372.0
2022-07-27,Voice american seven discussion.,Shopping,21555.0
2022-07-27,Doctor protect military social.,Investment,31570.0
2022-07-27,Truth thing always possible.,Food & Drink,59078.0
2022-07-27,Plant event score official now.,Rent,145244.0
2022-07-28,Half president structure might.,Entertainment,11482.0
2022-07-28,Might good test.,Other,18880.0
2022-07-29,Thought according think key.,Other,26980.0
2022-07-30,Method exactly.,Rent,34274.0
2022-07-31,Church own stage.,Travel,97362.0
2022-08-02,Specific result loss long.,Other,25200.0
2022-08-02,Claim street against amount of.,Salary,119167.0
2022-08-03,Picture always occur.,Investment,16090.0
2022-08-04,Election conference when.,Shopping,67111.0
2022-08-06,These road.,Health & Fitness,88604.0
2022-08-07,Describe paper.,Utilities,60787.0
2022-08-12,Color store over some.,Entertainment,96323.0
2022-08-13,Process enough right garden law.,Other,31140.0
2022-08-15,Her car admit.,Salary,193585.0
2022-08-15,Range step painting concern.,Health & Fitness,75835.0
2022-08-16,Me brother lot candidate owner.,Shopping,73638.0
2022-08-16,Miss have analysis morning.,Entertainment,118853.0
2022-08-17,Smile high open scientist.,Food & Drink,190648.0
2022-08-18,International effort.,Entertainment,88253.0
2022-08-19,Exist theory.,Rent,163974.0
2022-08-21,Country remember smile.,Shopping,134923.0
2022-08-21,Brother according pressure reach firm.,Other,24820.0
2022-08-22,Choice prepare.,Utilities,143332.0
2022-08-22,Talk interest hand.,Rent,90364.0
2022-08-23,Sense including six lot.,Shopping,107339.0
2022-08-24,Never effect fill general relationship.,Shopping,109185.0
2022-08-26,Security land record.,Health & Fitness,140625.0
2022-08-26,Democrat hundred.,Rent,22765.0
2022-08-28,Pass range appear home player.,Health & Fitness,34101.0
2022-08-29,Likely outside because.,Shopping,193395.0
2022-08-30,He participant right.,Shopping,22083.0
2022-08-31,Prevent expert white arm similar.,Investment,46830.0
2022-08-31,Keep cut prevent sound.,Entertainment,8971.0
2022-09-01,Almost outside middle.,Utilities,69649.0
2022-09-02,College already dream a church.,Investment,29200.0
2022-09-03,Good house only military.,Rent,24098.0
2022-09-03,Near risk.,Utilities,70317.0
2022-09-03,Give white everybody paper create.,Entertainment,104702.0
2022-09-04,Above company media next me.,Rent,88195.0
2022-09-04,Sort what.,Health & Fitness,14368.0
2022-09-05,Economic kind help low during.,Investment,6850.0
2022-09-06,Race to television loss.,Rent,135751.0
2022-09-07,Him small.,Investment,47270.0
2022-09-08,Son include good.,Investment,32110.0
2022-09-10,Red enjoy.,Salary,47139.0
2022-09-11,Human see.,Utilities,38091.0
2022-09-11,Never condition.,Shopping,6809.0
2022-09-12,Despite off consumer second.,Entertainment,90465.0
2022-09-14,Say dog drug enter.,Food & Drink,141242.0
2022-09-15,Strong student green.,Rent,115892.0
2022-09-15,Turn put professional.,Utilities,73793.0
2022-09-17,When summer he firm together.,Investment,26490.0
2022-09-18,Make worker trouble.,Salary,106015.0
2022-09-19,Develop office approach son.,Shopping,12265.0
2022-09-19,Allow girl team simply lead.,Health & Fitness,71045.0
2022-09-21,Least ready activity decision ok.,Utilities,162934.0
2022-09-23,Party employee nature down.,Travel,183818.0
2022-09-26,Gas contain interest industry sell.,Utilities,63324.0
2022-09-26,Evidence conference capital office.,Rent,37426.0
2022-09-28,Result sound.,Shopping,8423.0
2022-09-29,Task cultural son school.,Other,39650.0
2022-09-29,Computer matter.,Investment,18660.0
2022-09-30,Result size feel no nothing.,Utilities,38233.0
2022-10-01,Real art.,Food & Drink,173239.0
2022-10-02,Stuff benefit seat employee.,Salary,2817.0
2022-10-03,Newspaper special general in go.,Salary,82418.0
2022-10-04,Office power company sister great.,Salary,98251.0
2022-10-04,Simple land bad party.,Investment,23060.0
2022-10-05,What than political up instead.,Travel,45744.0
2022-10-08,Support author class direction.,Salary,113564.0
2022-10-10,Report painting house.,Salary,110396.0
2022-10-12,Security minute late cold.,Investment,26940.0
2022-10-12,Road product wait.,Health & Fitness,108867.0
2022-10-13,Cold billion as.,Salary,109724.0
2022-10-19,Approach side model you billion.,Rent,147462.0
2022-10-19,Pressure those.,Entertainment,60244.0
2022-10-20,Easy exist phone.,Salary,5330.0
2022-10-21,Stuff agreement professional team foot.,Rent,88375.0
2022-10-22,Window music evening know.,Entertainment,42766.0
2022-10-23,Opportunity lead see.,Health & Fitness,172349.0
2022-10-25,Model police finally girl.,Shopping,3403.0
2022-10-28,Source kind hand.,Investment,21950.0
2022-10-30,Field a spring.,Health & Fitness,106924.0
2022-10-31,Expert movement reach man.,Utilities,65407.0
2022-11-03,Across involve fall.,Travel,114974.0
2022-11-04,Nature country.,Rent,27982.0
2022-11-05,House clear say hope.,Shopping,183835.0
2022-11-07,Enjoy instead dream.,Utilities,140584.0
2022-11-07,Possible mother especially.,Investment,31380.0
2022-11-09,Consumer face.,Shopping,98402.0
2022-11-10,Laugh red man fly charge.,Travel,125935.0
2022-11-13,Control bill.,Rent,127092.0
2022-11-14,Resource road do.,Rent,81167.0
2022-11-14,Management game.,Health & Fitness,91484.0
2022-11-15,Your less social form.,Food & Drink,173913.0
2022-11-17,Entire hotel.,Rent,146455.0
2022-11-17,Consider time economic high.,Health & Fitness,170171.0
2022-11-18,Window research his.,Shopping,44348.0
2022-11-19,Scene almost leave.,Entertainment,99448.0
2022-11-21,Program decade home which view.,Travel,68213.0
2022-11-22,Rock seat near business loss.,Salary,157872.0
2022-11-26,Growth appear project.,Food & Drink,10143.0
2022-11-26,Plan foot cold.,Salary,424.0
2022-11-28,Build smile across among situation.,Utilities,88816.0
2022-11-28,Choice side eat matter rather.,Other,21570.0
2022-12-01,Art green child movie blue.,Utilities,176547.0
2022-12-03,First next popular.,Travel,19575.0
2022-12-04,Run again help right.,Rent,74997.0
2022-12-05,Magazine join.,Utilities,11306.0
2022-12-05,Recent couple cost girl run.,Entertainment,86417.0
2022-12-07,Trial never attention choice fast.,Investment,5080.0
2022-12-12,Happen a point here control.,Rent,27407.0
2022-12-13,Task simply draw return probably.,Salary,2848.0
2022-12-15,Couple raise she child.,Rent,197643.0
2022-12-16,Important focus benefit probably.,Utilities,96062.0
2022-12-18,Condition all blood.,Rent,146422.0
2022-12-22,All politics.,Other,35110.0
2022-12-28,Moment red eight hand.,Utilities,77161.0
2022-12-30,Us decade.,Utilities,128674.0
2022-12-31,Life police.,Rent,106571.0
2023-01-03,Sea three state some around.,Investment,41050.0
2023-01-04,American audience fight war whether.,Entertainment,125988.0
2023-01-04,Rise mother.,Other,41240.0
2023-01-06,Moment eat personal.,Rent,179422.0
2023-01-09,See indeed black police group.,Investment,36450.0
2023-01-10,Third coach congress husband.,Shopping,63586.0
2023-01-11,Move outside value.,Other,11900.0
2023-01-13,Yard foot he share issue.,Travel,156015.0
2023-01-15,Drive nation heart nearly season.,Travel,41884.0
2023-01-16,Language however risk work.,Entertainment,149821.0
2023-01-17,Career three according worker democrat.,Food & Drink,156977.0
2023-01-18,Sign wall.,Entertainment,99483.0
2023-01-19,Memory number occur behind leave.,Other,10810.0
2023-01-19,Enter threat economic.,Food & Drink,19739.0
2023-01-19,Begin hundred truth.,Utilities,77981.0
2023-01-19,Society common stay ready.,Shopping,73717.0
2023-01-19,Organization feel.,Salary,190936.0
2023-01-20,Bad argue side girl.,Food & Drink,117885.0
2023-01-21,Us building side section.,Investment,8260.0
2023-01-21,Him fight american music change.,Shopping,101816.0
2023-01-22,Check purpose young.,Shopping,85291.0
2023-01-23,Offer bed it skill challenge.,Utilities,56216.0
2023-01-23,Live seat.,Entertainment,194888.0
2023-01-23,Energy huge its recently.,Other,37000.0
2023-01-24,Nice maintain present cultural.,Rent,62724.0
2023-01-24,Drug entire involve.,Entertainment,12523.0
2023-01-24,Both including.,Other,14500.0
2023-01-24,Couple general pretty show.,Food & Drink,62549.0
2023-01-24,Pattern wrong kind certainly.,Utilities,24769.0
2023-01-24,Current health serious.,Food & Drink,33603.0
2023-01-25,Science drug.,Travel,34226.0
2023-01-26,Add really born.,Other,14670.0
2023-01-27,Age decade mrs data.,Food & Drink,67667.0
2023-01-27,Nature performance yeah.,Rent,53327.0
2023-01-28,On professional analysis color.,Rent,99733.0
2023-01-29,Smile peace apply.,Food & Drink,100422.0
2023-01-29,Home even.,Health & Fitness,32305.0
2023-01-30,Affect test.,Rent,46452.0
2023-01-31,Woman meet report.,Food & Drink,171879.0
2023-01-31,Term mother cost may.,Investment,43640.0
2023-02-01,Unit again easy morning four.,Utilities,36613.0
2023-02-02,Adult range green.,Food & Drink,11102.0
2023-02-03,You without every.,Shopping,45679.0
2023-02-06,Election hit yourself wrong want.,Health & Fitness,5498.0
2023-02-07,Charge today prevent.,Other,14780.0
2023-02-07,Minute question their rather.,Food & Drink,3669.0
2023-02-08,Of interview fine.,Food & Drink,190862.0
2023-02-08,My deal catch must.,Other,28120.0
2023-02-09,Finally relate model.,Travel,66133.0
2023-02-12,Yet wish certain usually.,Food & Drink,74415.0
2023-02-13,Attack mouth rest contain.,Travel,148176.0
2023-02-15,She they.,Health & Fitness,118746.0
2023-02-16,Field seat start pm.,Entertainment,14676.0
2023-02-18,Single blood continue.,Entertainment,30963.0
2023-02-20,Note discuss discussion reach grow.,Food & Drink,47367.0
2023-02-20,Maybe painting republican.,Food & Drink,190247.0
2023-02-22,System man case.,Other,30190.0
2023-02-22,Allow share address.,Investment,39390.0
2023-02-24,Development provide dark daughter.,Food & Drink,194539.0
2023-02-26,Term majority foot leader.,Other,12620.0
2023-02-26,If among save herself.,Investment,47570.0
2023-02-26,Particularly score order modern.,Health & Fitness,92233.0
2023-02-28,Body lead there there early.,Rent,10158.0
2023-03-03,Worker always hold share.,Shopping,15891.0
2023-03-03,Fact huge fight.,Shopping,132826.0
2023-03-05,Coach family try ready.,Other,26380.0
2023-03-05,Stop later reveal both.,Shopping,140444.0
2023-03-05,Career including late condition opportunity.,Health & Fitness,91099.0
2023-03-07,Bed food possible represent.,Entertainment,28086.0
2023-03-08,Before relationship plant.,Rent,31927.0
2023-03-08,Religious risk window partner civil.,Other,30720.0
2023-03-08,Analysis color friend the.,Health & Fitness,192962.0
2023-03-08,Than condition republican.,Travel,93206.0
2023-03-10,Finally shoulder land.,Rent,32365.0
2023-03-10,Together whether about.,Food & Drink,43789.0
2023-03-12,Learn talk.,Utilities,19151.0
2023-03-13,Part management.,Health & Fitness,79853.0
2023-03-13,Process law kind over according.,Other,26310.0
2023-03-13,People newspaper stay.,Utilities,7185.0
2023-03-15,Challenge president already.,Salary,111635.0
2023-03-15,Study fear turn any indicate.,Rent,92947.0
2023-03-16,Public particularly reality.,Utilities,25169.0
2023-03-16,Concern lay often use behavior.,Investment,15700.0
2023-03-18,Happy her attack interview.,Other,35490.0
2023-03-18,Fall care.,Rent,116882.0
2023-03-21,Money modern receive partner.,Rent,5338.0
2023-03-22,Role pick would low read.,Other,15550.0
2023-03-23,Participant first moment yet.,Other,15030.0
2023-03-23,Pass market role.,Other,9140.0
2023-03-23,Space this discussion fact.,Other,37350.0
2023-03-24,Brother let.,Shopping,136959.0
2023-03-27,Son yourself increase.,Investment,20330.0
2023-03-29,Night point action cut.,Salary,176801.0
2023-03-30,So film media.,Investment,29170.0
2023-03-31,Box four.,Salary,13135.0
2023-03-31,Pattern ahead compare form full.,Utilities,84428.0
2023-04-01,Something population loss physical.,Entertainment,12652.0
2023-04-01,Leg sport until argue.,Food & Drink,197891.0
2023-04-04,North question new.,Health & Fitness,96457.0
2023-04-07,Officer forward trouble.,Health & Fitness,182623.0
2023-04-08,Wide exactly.,Shopping,54817.0
2023-04-09,Worker phone success number.,Investment,7400.0
2023-04-10,Organization ten seem.,Travel,1266.0
2023-04-10,Even beautiful.,Health & Fitness,153602.0
2023-04-13,Later week democratic few.,Utilities,20927.0
2023-04-15,Size sing tree kitchen.,Travel,107204.0
2023-04-16,Toward child future low.,Food & Drink,153046.0
2023-04-20,Simply century the.,Shopping,71606.0
2023-04-20,Day already hold.,Utilities,36044.0
2023-04-21,About usually.,Health & Fitness,182882.0
2023-04-22,Level animal minute probably.,Other,16640.0
2023-04-22,Officer fine.,Entertainment,167503.0
2023-04-23,Customer expert mother significant.,Salary,108883.0
2023-04-24,Chance event address.,Investment,12390.0
2023-04-25,Bill my near even wall.,Investment,6630.0
2023-05-02,Each author party full kitchen.,Food & Drink,67015.0
2023-05-02,Likely push.,Utilities,68811.0
2023-05-03,Approach interview condition other.,Other,9870.0
2023-05-05,Green forward cup serve speak.,Investment,14080.0
2023-05-05,Nothing behavior sort recognize.,Health & Fitness,192151.0
2023-05-05,Financial popular short like.,Shopping,117617.0
2023-05-07,Technology pay tree.,Health & Fitness,28154.0
2023-05-12,Record professor small.,Other,44910.0
2023-05-14,Maintain assume both long.,Utilities,141729.0
2023-05-14,Should page camera.,Health & Fitness,45424.0
2023-05-14,Stage someone for power.,Utilities,76298.0
2023-05-15,Leave opportunity draw during city.,Travel,26342.0
2023-05-15,At decade really issue.,Shopping,170301.0
2023-05-16,Skin name door production back.,Food & Drink,37234.0
2023-05-17,Boy other foot best.,Entertainment,12829.0
2023-05-18,Final image our.,Other,16520.0
2023-05-19,Management produce bed stage.,Rent,48361.0
2023-05-20,Serious produce.,Utilities,127601.0
2023-05-20,Factor past language day theory.,Health & Fitness,89879.0
2023-05-20,Some quickly truth view response.,Entertainment,138942.0
2023-05-22,Old particularly.,Rent,144362.0
2023-05-22,Summer system artist too.,Other,39370.0
2023-05-22,Reflect star.,Shopping,99123.0
2023-05-25,Technology tend.,Shopping,21184.0
2023-05-28,Reduce hour fish him.,Entertainment,33369.0
2023-05-29,Nation production little could.,Investment,29150.0
2023-05-29,Style child young prove.,Other,13570.0
2023-05-30,Author administration.,Investment,35750.0
2023-06-02,Window career case south.,Investment,49810.0
2023-06-03,Us perhaps lawyer interest star.,Rent,68252.0
2023-06-04,Difficult interesting account marriage.,Salary,141196.0
2023-06-05,Especially unit office almost.,Utilities,121856.0
2023-06-08,Low happy oil which bag.,Food & Drink,2115.0
2023-06-08,Let back three.,Entertainment,82447.0
2023-06-09,Line score whether.,Travel,132459.0
2023-06-09,Something fine apply gas sing.,Rent,10877.0
2023-06-10,Mention light safe inside.,Salary,31564.0
2023-06-10,Cold reason our.,Shopping,18438.0
2023-06-13,Employee picture official of prevent.,Salary,40735.0
2023-06-15,Agree machine camera baby six.,Investment,28900.0
2023-06-16,Past every either.,Salary,16891.0
2023-06-16,Company option character land space.,Shopping,94718.0
2023-06-17,Machine son television.,Travel,19136.0
2023-06-17,Whose other.,Utilities,74833.0
2023-06-19,Sell include himself produce.,Utilities,89709.0
2023-06-21,Official success approach.,Salary,53417.0
2023-06-22,Apply less.,Food & Drink,31075.0
2023-06-22,Live way two.,Rent,18056.0
2023-06-23,Raise hope enjoy most.,Shopping,19417.0
2023-06-25,Eye something.,Food & Drink,168319.0
2023-06-25,Which raise american truth.,Shopping,19316.0
2023-06-25,Particular present evening establish.,Salary,11497.0
2023-06-26,Pressure hospital significant.,Travel,16712.0
2023-06-30,Side mind question year finish.,Food & Drink,100918.0
2023-07-01,Story activity.,Utilities,24936.0
2023-07-02,Billion land detail exist cover.,Utilities,189863.0
2023-07-05,Begin voice prevent structure wear.,Investment,20780.0
2023-07-05,Beat painting heavy.,Other,11410.0
2023-07-06,To receive education.,Shopping,41182.0
2023-07-07,Police two.,Utilities,166988.0
2023-07-07,Realize property show either.,Rent,18318.0
2023-07-10,Since him four.,Health & Fitness,171468.0
2023-07-10,Western enough key.,Food & Drink,157524.0
2023-07-10,Particular condition man.,Shopping,23391.0
2023-07-10,Shoulder despite poor tree resource.,Investment,13650.0
2023-07-11,Authority number.,Rent,157363.0
2023-07-13,Affect marriage present a.,Health & Fitness,175701.0
2023-07-15,Entire record toward off.,Salary,114833.0
2023-07-15,Long identify road speech.,Utilities,55807.0
2023-07-15,Difficult his ready sister building.,Other,8170.0
2023-07-15,Four field area young.,Health & Fitness,138412.0
2023-07-15,Movement which ball least.,Other,27000.0
2023-07-16,Computer always his.,Food & Drink,68235.0
2023-07-17,Receive to piece.,Travel,56789.0
2023-07-18,Be plan same cause.,Rent,194527.0
2023-07-19,Rest or.,Travel,19487.0
2023-07-19,As music film move.,Health & Fitness,54615.0
2023-07-20,Already argue.,Rent,38399.0
2023-07-21,Brother southern project learn.,Shopping,148448.0
2023-07-23,Scientist do author.,Health & Fitness,164382.0
2023-07-25,President likely truth animal.,Utilities,14058.0
2023-07-26,Common anyone.,Shopping,27994.0
2023-07-27,Lay color.,Food & Drink,35574.0
2023-07-27,Box organization.,Entertainment,167558.0
2023-07-30,Source international.,Salary,11061.0
2023-08-01,Building range national focus.,Entertainment,55522.0
2023-08-04,Or friend.,Shopping,127447.0
2023-08-05,Center indeed recent.,Investment,24810.0
2023-08-07,Just understand american.,Salary,36339.0
2023-08-07,Partner sing administration main according.,Health & Fitness,69506.0
2023-08-09,Religious order.,Travel,150043.0
2023-08-09,Really society live camera.,Travel,6463.0
2023-08-10,Mission include visit.,Investment,23130.0
2023-08-10,Conference matter wear physical site.,Entertainment,54548.0
2023-08-11,Above dog brother morning.,Food & Drink,173061.0
2023-08-16,Gun seven music despite show.,Food & Drink,95345.0
2023-08-17,Apply both chance.,Investment,5690.0
